date,datatype,station,attributes,value
2024-02-05T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.3
2024-02-05T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.1
2024-02-05T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.2
2024-02-06T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.4
2024-02-06T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",7.8
2024-02-06T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.2
2024-02-07T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",2.1
2024-02-07T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.7
2024-02-07T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-4.9
2024-02-08T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.2
2024-02-08T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",15.0
2024-02-08T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-02-09T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.2
2024-02-09T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-02-09T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.0
2024-02-10T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.7
2024-02-10T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.3
2024-02-10T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",8.9
2024-02-11T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",11.6
2024-02-11T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.3
2024-02-11T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",8.3
2024-02-12T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.8
2024-02-12T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",9.4
2024-02-12T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.7
2024-02-13T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.8
2024-02-13T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.3
2024-02-13T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-02-14T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.6
2024-02-14T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",7.8
2024-02-14T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.1
2024-02-15T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",2.6
2024-02-15T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.1
2024-02-15T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-4.9
2024-02-16T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.8
2024-02-16T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-16T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-02-17T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",2.6
2024-02-17T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",5.0
2024-02-17T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.8
2024-02-18T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",0.4
2024-02-18T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-02-18T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-6.6
2024-02-19T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.0
2024-02-19T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-19T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.8
2024-02-20T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",2.0
2024-02-20T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-20T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-4.9
2024-02-21T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.4
2024-02-21T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-02-21T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.8
2024-02-22T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.4
2024-02-22T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-02-22T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-02-23T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.6
2024-02-23T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.1
2024-02-23T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",2.2
2024-02-24T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.4
2024-02-24T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-24T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-02-25T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",2.1
2024-02-25T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",9.4
2024-02-25T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-6.0
2024-02-26T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",9.2
2024-02-26T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",20.6
2024-02-26T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.6
2024-02-27T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.2
2024-02-27T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",17.2
2024-02-27T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",4.4
2024-02-28T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",15.9
2024-02-28T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.3
2024-02-28T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.9
2024-02-29T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.3
2024-02-29T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-29T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-0.5
2024-03-01T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.6
2024-03-01T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-03-01T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-4.3
2024-03-02T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.6
2024-03-02T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.8
2024-03-02T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",4.4
2024-03-03T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.2
2024-03-03T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.3
2024-03-03T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-03-04T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.1
2024-03-04T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",20.6
2024-03-04T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.8
2024-03-05T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.1
2024-03-05T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",14.4
2024-03-05T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",9.4
2024-03-06T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",11.7
2024-03-06T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.9
2024-03-06T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",10.0
2024-03-07T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.7
2024-03-07T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.9
2024-03-07T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.2
2024-03-08T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",11.1
2024-03-08T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",16.1
2024-03-08T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.7
2024-03-09T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.2
2024-03-09T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-03-09T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.1
2024-03-10T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.2
2024-03-10T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.9
2024-03-10T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-03-11T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.4
2024-03-11T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.3
2024-03-11T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",2.8
2024-03-12T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.9
2024-03-12T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.9
2024-03-12T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-03-13T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.6
2024-03-13T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.3
2024-03-13T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-03-14T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",14.6
2024-03-14T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",26.7
2024-03-14T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",4.4
2024-03-15T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",19.7
2024-03-15T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.3
2024-03-15T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",12.2
2024-03-16T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.4
2024-03-16T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-03-16T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.7
2024-03-17T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",14.9
2024-03-17T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",22.2
2024-03-17T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",8.9
2024-03-18T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.7
2024-03-18T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-03-18T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-03-19T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.1
2024-03-19T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.7
2024-03-19T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-03-20T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.2
2024-03-20T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",20.0
2024-03-20T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-03-21T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.0
2024-03-21T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-03-21T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-0.5
2024-03-22T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.6
2024-03-22T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-03-22T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-03-23T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.4
2024-03-23T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.7
2024-03-23T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-03-24T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.6
2024-03-24T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-03-24T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-03-25T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.1
2024-03-25T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",15.0
2024-03-25T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.1
2024-03-26T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.0
2024-03-26T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",17.2
2024-03-26T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-03-27T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.9
2024-03-27T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-03-27T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.2
2024-03-28T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.1
2024-03-28T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.8
2024-03-28T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.7
2024-03-29T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",9.9
2024-03-29T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",17.2
2024-03-29T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-0.5
2024-03-30T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.2
2024-03-30T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-03-30T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-03-31T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.0
2024-03-31T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-03-31T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.6
2024-04-01T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.8
2024-04-01T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",15.6
2024-04-01T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",11.1
2024-04-02T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",11.2
2024-04-02T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-04-02T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",8.9
2024-04-03T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",9.8
2024-04-03T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.1
2024-04-03T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.2
2024-04-04T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.7
2024-04-04T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.3
2024-04-04T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-04-05T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.9
2024-04-05T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.3
2024-04-05T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",2.8
2024-04-06T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.8
2024-04-06T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.9
2024-04-06T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-04-07T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.8
2024-04-07T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.3
2024-04-07T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-04-08T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.3
2024-04-08T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.9
2024-04-08T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-04-09T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",17.6
2024-04-09T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",26.7
2024-04-09T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",9.4
2024-04-10T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",20.8
2024-04-10T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",26.7
2024-04-10T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",16.1
2024-04-11T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",19.9
2024-04-11T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",21.7
2024-04-11T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",17.8
2024-04-12T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",17.9
2024-04-12T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-04-12T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",13.9
2024-04-13T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",15.2
2024-04-13T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-04-13T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.8
2024-04-14T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",16.9
2024-04-14T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",28.9
2024-04-14T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.6
2024-04-15T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",23.0
2024-04-15T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",29.4
2024-04-15T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",14.4
2024-04-16T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",20.9
2024-04-16T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",25.6
2024-04-16T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",8.9
2024-04-17T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",18.6
2024-04-17T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.3
2024-04-17T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",15.0
2024-04-18T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",19.9
2024-04-18T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",26.1
2024-04-18T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",11.7
2024-04-19T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.7
2024-04-19T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",13.9
2024-04-19T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",11.7
2024-04-20T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",16.1
2024-04-20T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.3
2024-04-20T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",11.7
2024-04-21T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",11.4
2024-04-21T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-04-21T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",6.7
2024-04-22T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.6
2024-04-22T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",18.9
2024-04-22T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.9
2024-04-23T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.5
2024-04-23T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.3
2024-04-23T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.1
2024-04-24T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",19.1
2024-04-24T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",23.9
2024-04-24T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",13.9
2024-04-25T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",13.7
2024-04-25T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",16.7
