period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription
2016-05,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-05,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-05,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-05,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-05,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-05,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-05,VA,Virginia,98,Electric Power,SUN,solar
2016-05,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-05,VA,Virginia,99,All Sectors,SUN,solar
2016-06,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-06,VA,Virginia,1,Electric Utility,SUN,solar
2016-06,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-06,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-06,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-06,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-06,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-06,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-06,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-06,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-06,VA,Virginia,98,Electric Power,SUN,solar
2016-06,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-06,VA,Virginia,99,All Sectors,SUN,solar
2016-07,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-07,VA,Virginia,1,Electric Utility,SUN,solar
2016-07,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-07,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-07,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-07,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-07,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-07,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-07,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-07,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-07,VA,Virginia,98,Electric Power,SUN,solar
2016-07,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-07,VA,Virginia,99,All Sectors,SUN,solar
2016-08,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-08,VA,Virginia,1,Electric Utility,SUN,solar
2016-08,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-08,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-08,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-08,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-08,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-08,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-08,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-08,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-08,VA,Virginia,98,Electric Power,SUN,solar
2016-08,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-08,VA,Virginia,99,All Sectors,SUN,solar
2016-09,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-09,VA,Virginia,1,Electric Utility,SUN,solar
2016-09,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-09,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-09,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-09,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-09,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-09,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-09,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-09,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-09,VA,Virginia,98,Electric Power,SUN,solar
2016-09,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-09,VA,Virginia,99,All Sectors,SUN,solar
2016-10,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-10,VA,Virginia,1,Electric Utility,SUN,solar
2016-10,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-10,VA,Virginia,2,IPP Non-CHP,SUN,solar
2016-10,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-10,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-10,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-10,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-10,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-10,VA,Virginia,94,Independent Power Producers,SUN,solar
2016-10,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-10,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-10,VA,Virginia,98,Electric Power,SUN,solar
2016-10,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-10,VA,Virginia,99,All Sectors,SUN,solar
2016-11,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-11,VA,Virginia,1,Electric Utility,SUN,solar
2016-11,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-11,VA,Virginia,2,IPP Non-CHP,SUN,solar
2016-11,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-11,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-11,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-11,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-11,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-11,VA,Virginia,94,Independent Power Producers,SUN,solar
2016-11,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-11,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-11,VA,Virginia,98,Electric Power,SUN,solar
2016-11,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-11,VA,Virginia,99,All Sectors,SUN,solar
2016-12,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-12,VA,Virginia,1,Electric Utility,SUN,solar
2016-12,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-12,VA,Virginia,2,IPP Non-CHP,SUN,solar
2016-12,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-12,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-12,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-12,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-12,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-12,VA,Virginia,94,Independent Power Producers,SUN,solar
2016-12,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-12,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-12,VA,Virginia,98,Electric Power,SUN,solar
2016-12,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-12,VA,Virginia,99,All Sectors,SUN,solar
2017-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-01,VA,Virginia,1,Electric Utility,SUN,solar
2017-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-01,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-01,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-01,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-01,VA,Virginia,98,Electric Power,SUN,solar
2017-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-01,VA,Virginia,99,All Sectors,SUN,solar
2017-02,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-02,VA,Virginia,1,Electric Utility,SUN,solar
2017-02,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-02,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-02,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-02,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-02,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-02,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-02,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-02,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-02,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-02,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-02,VA,Virginia,98,Electric Power,SUN,solar
2017-02,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-02,VA,Virginia,99,All Sectors,SUN,solar
2017-03,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-03,VA,Virginia,1,Electric Utility,SUN,solar
2017-03,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-03,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-03,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-03,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-03,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-03,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-03,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-03,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-03,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-03,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-03,VA,Virginia,98,Electric Power,SUN,solar
2017-03,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-03,VA,Virginia,99,All Sectors,SUN,solar
2017-04,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-04,VA,Virginia,1,Electric Utility,SUN,solar
2017-04,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-04,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-04,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-04,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-04,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-04,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-04,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-04,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-04,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-04,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-04,VA,Virginia,98,Electric Power,SUN,solar
2017-04,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-04,VA,Virginia,99,All Sectors,SUN,solar
2017-05,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-05,VA,Virginia,1,Electric Utility,SUN,solar
2017-05,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-05,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-05,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-05,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-05,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-05,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-05,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-05,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-05,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-05,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-05,VA,Virginia,98,Electric Power,SUN,solar
2017-05,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-05,VA,Virginia,99,All Sectors,SUN,solar
2017-06,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-06,VA,Virginia,1,Electric Utility,SUN,solar
2017-06,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-06,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-06,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-06,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-06,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-06,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-06,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-06,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-06,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-06,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-06,VA,Virginia,98,Electric Power,SUN,solar
2017-06,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-06,VA,Virginia,99,All Sectors,SUN,solar
2017-07,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-07,VA,Virginia,1,Electric Utility,SUN,solar
2017-07,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-07,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-07,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-07,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-07,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-07,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-07,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-07,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-07,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-07,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-07,VA,Virginia,98,Electric Power,SUN,solar
2017-07,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-07,VA,Virginia,99,All Sectors,SUN,solar
2017-08,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-08,VA,Virginia,1,Electric Utility,SUN,solar
2017-08,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-08,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-08,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2017-08,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2017-08,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2017-08,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2017-08,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2017-08,VA,Virginia,94,Independent Power Producers,SUN,solar
2017-08,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2017-08,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2017-08,VA,Virginia,98,Electric Power,SUN,solar
2017-08,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2017-08,VA,Virginia,99,All Sectors,SUN,solar
2017-09,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2017-09,VA,Virginia,1,Electric Utility,SUN,solar
2017-09,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2017-09,VA,Virginia,2,IPP Non-CHP,SUN,solar
2017-09,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
