,,,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
UA,Ukraine,wind-and-solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.58,0.32,0.41,0.49,0.53,0.67,0.63,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,Ukraine,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.58,0.32,0.41,0.49,0.53,0.67,0.63,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,Ukraine,coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,2.87,2.12,1.68,1.29,1.16,1.37,1.32,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,Ukraine,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.22,0.8,0.69,0.18,0.18,0.18,0.17,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,Ukraine,trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.12,-0.09,-0.06,-0.13,-0.1,-0.05,0.04,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Serbia,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375081,4.132361,3.314647,3.105129,2.636843,2.628242,2.470882,2.65587,2.737204,2.725955,2.952256,3.527784,3.894541,3.567814,2.697214,3.483108,3.050638,2.616025,2.645096,2.650177,2.718605,2.638359,3.041232,3.35228,3.857167,3.8744476,3.2432932,3.7915719,2.8751155,2.923444,2.721002,2.7174532,2.7589837,2.552925,2.7923122,3.0193728,3.598602,3.7954993,3.2852287,3.4578413,2.6403054,2.4898872,2.5629339,2.6408829,2.835934,2.6286585,3.1449928,3.327491,3.645653,3.7586072,3.5913849,3.6291009,3.0427987,2.6645657,2.5553329,2.7435485,2.6309633,2.51819,3.071906,3.2057757,3.6730162,3.755831,3.190264,3.482863,2.98354,2.612912,2.577698,2.763828,2.677779,2.565166,2.818291,3.102296,3.493514,3.401844,3.463649,3.68262,3.253685,2.751602,2.714772,2.878872,2.926337,2.599384,2.847527,3.405625,3.787171,3.893696,3.380429,3.375246,2.757879,2.553751,2.600624,2.881405,2.869143,2.572303,3.106879,3.360905,3.681196,3.642278,3.345843,3.202403,2.873336,2.63115,2.684031,2.814512,2.67189347,2.55573148,3.017538151,3.181451654,3.575725349
RS,Serbia,lowcarbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184245,0.700283,0.932337,1.222113,0.848707,0.938502,0.691404,0.499124,0.585253,0.605033,0.606773,0.800312,1.196837,1.169793,1.015882,1.4191,1.443193,1.113215,0.871509,0.98116,0.813848,0.598154,0.47279,0.608198,0.764809,0.9494957,1.0766666,1.2784372,0.9878958,1.2255495,1.0852003,0.7372859,0.671929,0.5880949,0.5844584,0.8985359,1.0573366,0.8243544,0.9398736,1.1705429,0.7343611,0.7961817,0.9794724,0.9045134,0.9059959,0.7285671,1.0541731,0.8789272,0.9182769,1.4641538,1.5023324,1.3166996,1.3529852,1.3568607,1.0473021,0.8971034,0.745623,0.6890034,0.7308562,0.8794442,1.2297059,1.172471,0.94313,0.993821,1.128309,1.023464,0.795699,0.589352,0.516853,0.614218,0.648357,0.744354,1.251889,1.26152,1.16866,1.527648,1.426618,1.449508,1.426971,0.871578,0.879597,0.69139,0.631659,1.314648,1.660935,1.547396,1.350768,1.332047,1.131759,0.987882,1.023364,0.810241,0.618585,0.733273,1.016521,0.762457,0.925627,1.103087,0.989563,1.110902,1.253788,0.911123,0.734403,0.610554,0.64682947,0.62570648,0.684625151,0.869250654,0.978423349
RS,Serbia,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.677961,2.579917,2.120977,1.638073,1.594805,1.681558,1.772284,2.05862,2.062808,2.11156,2.222496,2.118366,2.102295,2.36442,1.630983,2.029521,1.594854,1.48793,1.759667,1.654147,1.637394,1.790878,2.224356,2.185657,2.226329,2.248412,2.0444775,2.5131347,1.8690278,1.5515125,1.5525157,1.7459852,1.8703128,1.7212781,1.9983158,2.026924,2.2821704,2.4961949,2.2912021,2.2872984,1.8316282,1.6421775,1.5602204,1.7363695,1.9299381,1.9000914,2.0908197,2.2417158,2.430976,2.2944534,2.0890525,2.3124012,1.6898135,1.307705,1.4057588,1.767507,1.7774394,1.7339476,2.0143117,1.8771496,1.8708383,1.896849,1.721689,2.174927,1.691027,1.310249,1.56702,1.937978,1.953134,1.866539,2.126765,2.291341,2.237254,2.140324,2.294989,2.154972,1.827067,1.302094,1.287801,2.007294,2.04674,1.907994,2.215868,2.090977,2.126236,2.3463,2.029661,2.043199,1.62612,1.487564,1.458868,1.654785,1.833487,1.656757,2.090358,2.432929,2.375796,2.420157,2.326065,2.058834,1.549217,1.445224,1.746566,2.189104,1.948158,1.811476,1.86202,2.081039,2.258186
RS,Serbia,renewables-including-hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184245,0.700283,0.932337,1.222113,0.848707,0.938502,0.691404,0.499124,0.585253,0.605033,0.606773,0.800312,1.196837,1.169793,1.015882,1.4191,1.443193,1.113215,0.871509,0.98116,0.813848,0.598154,0.47279,0.608198,0.764809,0.9494957,1.0766667,1.2784372,0.9878959,1.2255495,1.0852004,0.737286,0.671929,0.588095,0.5844583,0.8985359,1.0573365,0.8243544,0.9398736,1.1705429,0.7343611,0.7961817,0.9794724,0.9045135,0.9059959,0.728567,1.054173,0.8789272,0.9182769,1.4641538,1.5023324,1.3166995,1.3529852,1.3568607,1.0473021,0.8971034,0.745623,0.6890033,0.7308562,0.8794442,1.2297059,1.172471,0.94313,0.993821,1.128309,1.023464,0.795699,0.589352,0.516853,0.614218,0.648357,0.744354,1.251889,1.26152,1.16866,1.527648,1.426618,1.449508,1.426971,0.871578,0.879597,0.69139,0.631659,1.314648,1.660935,1.547396,1.350768,1.332047,1.131759,0.987882,1.023364,0.810241,0.618585,0.733273,1.016521,0.762457,0.925627,1.103087,0.989563,1.110902,1.253788,0.911123,0.734403,0.610554,0.64682947,0.62570648,0.684625151,0.869250654,0.978423349
RS,Serbia,hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183474,0.69805,0.929649,1.219161,0.845875,0.935526,0.688528,0.497636,0.583761,0.602153,0.603797,0.797431,1.193117,1.166098,1.009172,1.41167,1.436105,1.105775,0.864549,0.97372,0.806408,0.590964,0.46535,0.600998,0.757364,0.8791889,1.0020476,1.193616,0.8798228,1.1545916,1.0402367,0.6936548,0.6096066,0.5172988,0.5107224,0.7150124,0.9105534,0.7599164,0.8067193,1.0364922,0.6591946,0.6920958,0.8930204,0.8464017,0.8186874,0.6279357,0.9425376,0.8292559,0.760073,1.3264645,1.3911531,1.209291,1.2453819,1.2313252,0.9842549,0.8060033,0.6773904,0.6110602,0.5747383,0.7387485,1.0983886,1.059878,0.805573,0.892748,1.024065,0.926657,0.719766,0.507685,0.463786,0.528949,0.552508,0.641765,1.096578,1.128,1.060762,1.392541,1.323377,1.323178,1.3522,0.801347,0.80565,0.596037,0.502906,1.15317,1.519759,1.389452,1.165898,1.134268,0.979648,0.818839,0.927211,0.69285,0.519192,0.570084,0.84794,0.617465,0.797468,0.946961,0.788547,0.90366,1.047959,0.755551,0.577909,0.455785,0.518725,0.472098,0.531785,0.731216,0.832491
RS,Serbia,renewables-except-hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000771,0.002233,0.002688,0.002952,0.002832,0.002976,0.002876,0.001488,0.001492,0.00288,0.002976,0.002881,0.00372,0.003695,0.00671,0.00743,0.007088,0.00744,0.00696,0.00744,0.00744,0.00719,0.00744,0.0072,0.007445,0.0703068,0.0746191,0.0848212,0.1080731,0.0709579,0.0449637,0.0436312,0.0623224,0.0707962,0.0737359,0.1835235,0.1467831,0.064438,0.1331543,0.1340507,0.0751665,0.1040859,0.086452,0.0581118,0.0873085,0.1006313,0.1116354,0.0496713,0.1582039,0.1376893,0.1111793,0.1074085,0.1076033,0.1255355,0.0630472,0.0911001,0.0682326,0.0779431,0.1561179,0.1406957,0.1313173,0.112593,0.137557,0.101073,0.104244,0.096807,0.075933,0.081667,0.053067,0.085269,0.095849,0.102589,0.155311,0.13352,0.107898,0.135107,0.103241,0.12633,0.074771,0.070231,0.073947,0.095353,0.128753,0.161478,0.141176,0.157944,0.18487,0.197779,0.152111,0.169043,0.096153,0.117391,0.099393,0.163189,0.168581,0.144992,0.128159,0.156126,0.201016,0.207242,0.205829,0.155572,0.156494,0.154769,0.12810447,0.15360848,0.152840151,0.138034654,0.145932349
RS,Serbia,wind-and-solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0609653,0.0659679,0.0749883,0.098315,0.0610383,0.0355158,0.0329425,0.0527189,0.0613513,0.0625194,0.1711135,0.1343219,0.0501021,0.1199759,0.1218721,0.0705638,0.0926301,0.0718451,0.0416448,0.0707677,0.0840693,0.0935186,0.031973,0.1399284,0.119632,0.094572,0.0898101,0.0893914,0.1073441,0.0458293,0.0734762,0.0500324,0.0590972,0.1359629,0.1208714,0.112038,0.090863,0.117276,0.07949,0.083117,0.07547,0.055656,0.060222,0.03194,0.066365,0.074347,0.082753,0.134432,0.113888,0.089873,0.11328,0.08293,0.106769,0.054897,0.050065,0.053549,0.074184,0.106324,0.138998,0.117195,0.133954,0.161921,0.173883,0.129043,0.145298,0.073328,0.089078,0.071082,0.130617,0.137968,0.112723,0.097234,0.123532,0.171093,0.171941,0.169316,0.124256,0.122617,0.116778,0.10115847,0.12616848,0.124583151,0.110381654,0.117737349
RS,Serbia,geothermal-and-biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000771,0.002233,0.002688,0.002952,0.002832,0.002976,0.002876,0.001488,0.001492,0.00288,0.002976,0.002881,0.00372,0.003695,0.00671,0.00743,0.007088,0.00744,0.00696,0.00744,0.00744,0.00719,0.00744,0.0072,0.007445,0.0093415,0.0086512,0.0098329,0.0097581,0.0099196,0.0094479,0.0106887,0.0096035,0.0094449,0.0112165,0.01241,0.0124612,0.0143359,0.0131784,0.0121786,0.0046027,0.0114558,0.0146069,0.016467,0.0165408,0.016562,0.0181168,0.0176983,0.0182755,0.0180573,0.0166073,0.0175984,0.0182119,0.0181914,0.0172179,0.0176239,0.0182002,0.0188459,0.020155,0.0198243,0.0192793,0.02173,0.020281,0.021583,0.021127,0.021337,0.020277,0.021445,0.021127,0.018904,0.021502,0.019836,0.020879,0.019632,0.018025,0.021827,0.020311,0.019561,0.019874,0.020166,0.020398,0.021169,0.022429,0.02248,0.023981,0.02399,0.022949,0.023896,0.023068,0.023745,0.022825,0.028313,0.028311,0.032572,0.030613,0.032269,0.030925,0.032594,0.029923,0.035301,0.036513,0.031316,0.033877,0.037991,0.026946,0.02744,0.028257,0.027653,0.028195
RS,Serbia,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0606947,0.0652039,0.0735936,0.0969936,0.059727,0.0338668,0.0312365,0.0509611,0.0600288,0.0613394,0.1706445,0.1339221,0.0494831,0.1191909,0.1208321,0.0689608,0.0911911,0.0703941,0.0399628,0.0692697,0.0827033,0.0925456,0.031476,0.1396204,0.119253,0.093802,0.0887021,0.0880964,0.1056761,0.0440963,0.0717432,0.0483484,0.0577602,0.1350409,0.1203084,0.111714,0.090323,0.116468,0.078192,0.08162,0.073578,0.053745,0.058045,0.030777,0.065495,0.072899,0.082228,0.133913,0.113381,0.088684,0.111426,0.079702,0.102534,0.050279,0.04391,0.046221,0.067585,0.10108,0.13608,0.114506,0.131088,0.157062,0.16618,0.117962,0.133567,0.059196,0.073431,0.054704,0.118799,0.125288,0.105305,0.092888,0.11725,0.160249,0.154321,0.142005,0.090887,0.078898,0.077296,0.10115847,0.12616848,0.124583151,0.110381654,0.117737349
RS,Serbia,solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002706,0.000764,0.0013947,0.0013214,0.0013113,0.001649,0.001706,0.0017578,0.0013225,0.00118,0.000469,0.0003998,0.000619,0.000785,0.00104,0.001603,0.001439,0.001451,0.001682,0.001498,0.001366,0.000973,0.000497,0.000308,0.000379,0.00077,0.001108,0.001295,0.001668,0.001733,0.001733,0.001684,0.001337,0.000922,0.000563,0.000324,0.00054,0.000808,0.001298,0.001497,0.001892,0.001911,0.002177,0.001163,0.00087,0.001448,0.000525,0.000519,0.000507,0.001189,0.001854,0.003228,0.004235,0.004618,0.006155,0.007328,0.006599,0.005244,0.002918,0.002689,0.002866,0.004859,0.007703,0.011081,0.011731,0.014132,0.015647,0.016378,0.011818,0.01268,0.007418,0.004346,0.006282,0.010844,0.01762,0.027311,0.033369,0.043719,0.039482,,,,,
RS,Serbia,biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000771,0.002233,0.002688,0.002952,0.002832,0.002976,0.002876,0.001488,0.001492,0.00288,0.002976,0.002881,0.00372,0.003695,0.00671,0.00743,0.007088,0.00744,0.00696,0.00744,0.00744,0.00719,0.00744,0.0072,0.007445,0.0093415,0.0086512,0.0098329,0.0097581,0.0099196,0.0094479,0.0106887,0.0096035,0.0094449,0.0112165,0.01241,0.0124612,0.0143359,0.0131784,0.0121786,0.0046027,0.0114558,0.0146069,0.016467,0.0165408,0.016562,0.0181168,0.0176983,0.0182755,0.0180573,0.0166073,0.0175984,0.0182119,0.0181914,0.0172179,0.0176239,0.0182002,0.0188459,0.020155,0.0198243,0.0192793,0.02173,0.020281,0.021583,0.021127,0.021337,0.020277,0.021445,0.021127,0.018904,0.021502,0.019836,0.020879,0.019632,0.018025,0.021827,0.020311,0.019561,0.019874,0.020166,0.020398,0.021169,0.022429,0.02248,0.023981,0.02399,0.022949,0.023896,0.023068,0.023745,0.022825,0.028313,0.028311,0.032572,0.030613,0.032269,0.030925,0.032594,0.029923,0.035301,0.036513,0.031316,0.033877,0.037991,0.026946,0.02744,0.028257,0.027653,0.028195
RS,Serbia,coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.677575,2.578429,2.119633,1.636585,1.593365,1.68007,1.770848,2.058616,2.06132,2.11012,2.221008,2.116926,2.100807,2.362944,1.629641,2.028035,1.593437,1.486442,1.758275,1.652659,1.635906,1.78944,2.222868,2.184217,2.224841,2.1893461,1.9907322,2.447163,1.8198588,1.5106265,1.5116029,1.7000252,1.8211097,1.675963,1.9457743,1.9736363,2.2222234,2.4471405,2.2461418,2.2423146,1.7955232,1.6097641,1.529404,1.7021208,1.891917,1.8626518,2.0496645,2.1976196,2.3831925,2.1945056,1.9980186,2.2116742,1.6161033,1.2505765,1.3443755,1.6904262,1.6999275,1.658323,1.9265208,1.7953107,1.7892738,1.846927,1.67633,2.117531,1.64629,1.275455,1.525502,1.887036,1.901549,1.817211,2.070689,2.23102,2.178413,2.047044,2.194965,2.060907,1.747176,1.244463,1.231302,1.917125,1.956347,1.822861,2.115891,1.999765,2.033426,2.208363,1.910245,1.922887,1.521316,1.385118,1.372641,1.547554,1.719127,1.546984,1.96098,2.277831,2.229499,2.223701,2.137593,1.892307,1.421386,1.32958,1.605211,2.007749,1.831787,1.701947,1.849077,1.960863,2.080282
RS,Serbia,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000386,0.001488,0.001344,0.001488,0.00144,0.001488,0.001436,4.0E-6,0.001488,0.00144,0.001488,0.00144,0.001488,0.001476,0.001342,0.001486,0.001417,0.001488,0.001392,0.001488,0.001488,0.001438,0.001488,0.00144,0.001488,0.0567638,0.0516137,0.0634484,0.0471836,0.0391662,0.0391921,0.0440775,0.0472168,0.0434536,0.0504483,0.0511707,0.0576166,0.0472633,0.0433817,0.0433074,0.0346782,0.0310905,0.0295383,0.0328743,0.0365403,0.0359753,0.0395865,0.0424446,0.0460283,0.0985085,0.0896882,0.0992799,0.0725456,0.0561378,0.060348,0.0758811,0.0763077,0.07444,0.0864792,0.0805896,0.080318,0.04798,0.043548,0.055009,0.042767,0.033134,0.03963,0.049021,0.049399,0.047208,0.053792,0.057957,0.056591,0.091802,0.098436,0.092424,0.078354,0.05581,0.055219,0.085976,0.087735,0.081749,0.09489,0.089682,0.091192,0.135939,0.117588,0.118366,0.093647,0.085263,0.084495,0.095262,0.105824,0.095227,0.120711,0.140215,0.13724,0.185411,0.178231,0.157779,0.118514,0.11086,0.133842,0.167405,0.116371,0.109529,0.012943,0.120176,0.177904
RS,Serbia,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018785,0.001708,0.0020997,0.0015618,0.0012962,0.0012971,0.0014589,0.0015627,0.0014379,0.0016696,0.0016934,0.0019068,0.0013681,0.0012556,0.0012534,0.0010038,0.0008999,0.0008551,0.0009514,0.0010578,0.0010413,0.0011457,0.0012286,0.0013322,0.0010421,0.0009485,0.0010499,0.0007674,0.0005935,0.0006381,0.0008025,0.000807,0.0007874,0.0009145,0.0008521,0.0008493,0.001517,0.001377,0.001739,0.001352,0.001048,0.001253,0.00155,0.001562,0.001493,0.001701,0.001833,0.001789,0.00107,0.001147,0.001077,0.000913,0.00065,0.000644,0.001002,0.001023,0.000953,0.001106,0.001045,0.001063,0.001501,0.001299,0.001307,0.001034,0.000942,0.000933,0.001052,0.001169,0.001052,0.001333,0.001549,0.001516,0.001953,0.001877,0.001662,0.001248,0.001168,0.00141,0.001763,,,,,
RS,Serbia,unspecified-fossil-fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.0004236,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.0003972,0.00042500000000003,0.00043400000000015,0.00064800000000022,0.00061800000000002,0.00061199999999999,0.00063499999999994,0.00037100000000004,0.00062400000000021,0.00062699999999982,0.00058300000000002,0.00053100000000007,0.00046100000000014,0.00040800000000002,0.00044099999999988,0.00056399999999961,0.00062399999999993,0.001171,0.00063600000000007,0.0031909999999999,0.0016349999999997,0.0024309999999999,0.0039810000000004,0.00048499999999985,0.00055500000000006,0.00049700000000042,0.00052899999999997,0.00063899999999953,0.010123,0.016241,0.00079899999999983,0.010917,0.007367,0.013494,0.007334,0.013334,0.0075410000000006,0.009092,0.008364,0.0070860000000001,0.008069,0.0036160000000001,0.0061030000000001,0.012187,,,,,
